idx	src	tgt	Perfect(90-100)	Good(70-90)	Fair(51-69)	Poor(30-50)	bad(11-29)	worst(0-10)	Comments	en_mr_gpt-4o_trans_las_gt_las_gt_0_9_gt_8_words	human_eval_chatgpt4o	Good(70-90).1	Fair(51-69).1	Poor(30-50).1	bad(11-29).1	worst(0-10).1	Comments.1	en_mr_output_ollama_v3_trans_las_gt_las_gt_0_9_gt_8_words	human_eval_ollama	Good(70-90).2	Fair(51-69).2	Poor(30-50).2	bad(11-29).2	worst(0-10).2	Comments.2	Unnamed: 26	gpt_p_scores	gpt_r_scores	gpt_f1_scores	ollama_p_scores	ollama_r_scores	ollama_f1_scores	gpt_bleu_scores	ollama_bleu_scores	human_eval_gpt_scores	human_eval_ollama_scores	en_mr_gpt_3_5_trans_las_gt_las_gt_0_9_gt_8_words	gpt_35_meteor_score	gpt_4o_meteor_score	ollama_trans_meteor_score	gpt_35_f1_score	gpt_35_bleu_score
813.0	The Defence Research and Development Organisation (DRDO) developed the missile.	संरक्षण संशोधन आणि विकास संस्था म्हणजेच डीआरडीओने (DRDO) हे क्षेपणास्त्र विकसीत केले आहे.	100.0							संरक्षण संशोधन आणि विकास संघटना (DRDO) ने क्षेपणास्त्र विकसित केले.	100.0							रक्षा संशोधन आणि विकास संस्था (डीआरडीओ) ने क्षेपणास्त्र विकसित केले.	100.0								0.8389	0.9137	0.8747	0.8499	0.9036	0.8759	0.24	0.19	1.0	1.0	सुरक्षा तज्ञान आणि विकास संगठन (डीआरडीओ) याने ह्या बाणाचे विकसन केले.	0.2698663853727145	0.5971337579617834	0.4883227176220807	0.8031	0.0
850.0	From Congress, party chief Ashok Choudhary, Madan Mohan Jha, Abdul Jalil Mastan and Awdesh Kumar Singh were sworn in.	काँग्रेसकडून पक्षाचे प्रमुख अशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवदेशकुमार सिंग यांना मंत्रीपदाची शपथ देण्यात आली.	90.0						added mantripad	कॉंग्रेसकडून पक्षप्रमुख अशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवधेश कुमार सिंह यांनी शपथ घेतली.	90.0						Changed passive to active	काँग्रेस मधून, पक्ष प्रमुख अशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवदेश कुमार सिंह यांना शपथ दिली गेली.	100.0								0.8735	0.9062	0.8896	0.8824	0.9187	0.9002	0.48	0.49	0.9	1.0	काँग्रेस से, पार्टी के चीफ आशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान और अवदेश कुमार सिंह की शपथ ली गई थी।	0.4466367713004484	0.5926659790456544	0.6692692692692692	0.8736	0.32
870.0	Prime Minister's Office PM to participate in Buddha Jayanti Celebrations in New Delhi tomorrow On the occasion of Buddha Jayanti, Prime Minister Narendra Modi will join the celebrations at Indira Gandhi Indoor Stadium, in the Capital on Monday, 30th April, 2018.	पंतप्रधान कार्यालय नवी दिल्ली येथे उद्या बुद्ध जयंती उत्सवात पंतप्रधानांचा सहभाग नवी दिल्ली, 29 एप्रिल 2018 बुद्ध जयंतीच्या निमित्ताने, पंतप्रधान नरेंद्र मोदी सोमवारी, 30 एप्रिल, 2018 रोजी राजधानीत इंदिरा गांधी इनडोअर स्टेडियमच्या कार्यक्रमात सहभागी होणार आहेत.	100.0							पंतप्रधान कार्यालय: पंतप्रधान उद्या नवी दिल्लीतील बुद्ध जयंती उत्सवात सहभागी होणार. बुद्ध जयंतीच्या निमित्ताने पंतप्रधान नरेंद्र मोदी राजधानीतील इंदिरा गांधी इनडोअर स्टेडियममध्ये सोमवारी, ३० एप्रिल, २०१८ रोजी होणाऱ्या उत्सवात सहभागी होतील.	100.0							पंतप्रधान कार्यालय : पंतप्रधान बुद्ध जयंती साजरा उत्सवात भाग घेणार आहेत, नवी दिल्ली येथे उद्या बुद्ध जयंतीच्या निमित्ताने पंतप्रधान नरेंद्र मोदी इंदिरा गांधी इनडोर स्टेडियम, राजधानीत मंगळवार, ३० एप्रिल, २०१८ रोजी साजरा उत्सवात सामील होणार आहेत.	85.0	85.0					changed Monday to Tuesday		0.8784	0.8839	0.8811	0.8566	0.8595	0.8581	0.0	0.21	1.0	0.85	प्रधानमंत्री कार्यालय पीएम कल नई दिल्ली में बुद्ध जयंती के जश्न में भाग लेंगे। बुद्ध जयंती के अवसर पर प्रधानमंत्री नरेंद्र मोदी सोमवार, 30 अप्रैल, 2018 को राजधानी में इंदिरा गांधी इंडोर स्टेडियम में जश्न में शामिल होंगे।	0.2651147986863616	0.5202546296296297	0.5900163939911004	0.8124	0.0
955.0	Talking about the film, Anuradha Aggarwal, Head - Infotainment, English, and Kids, Star India, said, In our upcoming film The Next Frontier: Indias Smart Cities, we will showcase a national initiative that has transformed the lives of people across four lighthouse cities.	चित्रपटाविषयी बोलताना, स्टार इंडियाच्या इंफोटेनमेंट, इंग्लिश आणि किड्सच्या प्रमुख अनुराधा अग्रवाल म्हणाल्या, आमचा आगामी चित्रपट ‘द नेक्स्ट फ्रंटियर: इंडियाज स्मार्ट सिटीज’ मध्ये आम्ही या चार शहरांमधील लोकांच्या जीवनात बदल घडवून आणणाऱ्या राष्ट्रीय उपक्रमा विषयी दाखविले आहे.	95.0						added ya, missed lighthouse	"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""चित्रपटाबद्दल बोलताना, अनुराधा अग्रवाल, प्रमुख - माहितीमनोरंजन, इंग्रजी, आणि मुलं, स्टार इंडिया, म्हणाल्या, """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""आमच्या आगामी चित्रपट 'द नेक्स्ट फ्रंटियर: इंडियाज स्मार्ट सिटीज' मध्ये, आम्ही चार प्रमुख शहरांमधील लोकांचे जीवन बदलणाऱ्या राष्ट्रीय उपक्रमाचे प्रदर्शन करू."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	90.0						Translated English magazine names	चित्रपटाबद्दल बोलताना, स्टार इंडियाच्या अॅनुराधा अग्रवाल, हेड - इंफोटेनमेंट, इंग्लिश, आणि किड्स, म्हणाल्या, आमच्या आगामी चित्रपटात द नेक्स्ट फ्रंटियर: इंडियाज स्मार्ट सिटीज, आम्ही चार लाइटहाउस सिटीजमधील लोकांच्या जीवनात बदल घडवून आणलेल्या राष्ट्रीय उपक्रमाचे दर्शन घडवून आणू.	90.0						order changed		0.8338	0.8327	0.8333	0.8658	0.8668	0.8663	0.11	0.23	0.9	0.9	"""""""चलन्याच्या बद्दल बोलताना, अनुराधा अग्रवाल, हेड - इंफोटेनमेंट, इंग्लिश आणि किड्स, स्टार इंडिया, म्हणाली, """"""""आमच्या प्रस्तावित चित्रपट The Next Frontier: भारताच्या स्मार्ट सिटीज मध्ये, आम्ही चार लायटहाउस शहरांच्या जीवनांची वर्णन करू."""""""""""""""	0.2954195535026944	0.2234316012725345	0.5324074074074074	0.7794	0.07
973.0	However, the courts rejected both applications.	मात्र, न्यायालयाने त्यांच्या या दोन्ही मागण्या फेटाळून लावल्या आहेत.	100.0							तथापि, न्यायालयांनी दोन्ही अर्ज फेटाळले.	100.0							मात्र, न्यायालयांनी दोन्ही अर्जांना नकार दिला.	100.0								0.8407	0.8557	0.8481	0.8084	0.8376	0.8227	0.0	0.0	1.0	1.0	म्हणून, न्यायालयाने दोन्ही अर्जांची नाकार दिली.	0.2949766355140187	0.1415094339622641	0.2949766355140187	0.8262	0.0
985.0	His family consists of wife, four daughters and a son.	त्यांच्या मागे पत्नी, एक मुलगा, चार मुली असा परिवार आहे.	95.0						added mage	त्याच्या कुटुंबात पत्नी, चार मुली आणि एक मुलगा आहे.	100.0							त्याच्या कुटुंबात पत्नी, चार मुली आणि एक मुल आहे.	100.0								0.874	0.8382	0.8558	0.8684	0.8306	0.8491	0.0	0.0	1.0	1.0	त्याच्या कुटुंबात पत्नी, चार मुलगी आणि मुलगा आहेत.	0.2929133858267717	0.5859375000000001	0.4958545918367347	0.8426	0.0
1024.0	India and Uzbekistan sign Security Cooperation Agreement	भारत आणि उजबेकिस्तान यांच्यामध्ये सुरक्षा सहकार्य सामंजस्य करारावर स्वाक्षरी	100.0							भारत आणि उझबेकिस्तानने सुरक्षा सहकार्य करारावर स्वाक्षरी केली.	100.0							भारत आणि उझबेकिस्तान सुरक्षा सहकार्य करारावर स्वाक्षरी करतात	100.0								0.862	0.8936	0.8775	0.8821	0.9269	0.9039	0.0	0.0	1.0	1.0	ભારત અને ઉઝ્બેકિસ્તાન સુરક્ષા સહયોગ કરવા માટે ચુકવું ચુકવું ચુકવું ચુકવું ચુકવું ચુકવું ચુકવું ચુકવું ચુકવું.	0.0	0.625	0.6320224719101123	0.6762	0.0
1057.0	The court awarded the accused two life sentences under relevant sections of the Indian Penal Code for attempting to rape and injury with intent to rob.	बलात्काराचा प्रयत्न केल्याबद्दल आणि चोरीच्या उद्धेशाने दुखापत केल्याबद्दल कोर्टाने आरोपींना भारतीय दंड संहितेच्या संबंधित कलमांतर्गत दोन जन्मठेपेची शिक्षा सुनावल्या.	100.0							कोर्टाने आरोपीला बलात्काराचा प्रयत्न आणि लुटीच्या उद्देशाने जखमी करण्यासाठी भारतीय दंड संहितेच्या संबंधित कलमांखाली दोन जन्मठेपेची शिक्षा सुनावली.	100.0							भारतीय दंड संहितेच्या संबंधित कलमांतर्गत बलात्कार प्रयत्न आणि लूटण्यासाठी जखमी करण्याच्या आरोपासाठी न्यायालयाने आरोपीला दोन आजन्म कारावासाची शिक्षा दिली.	100.0								0.8506	0.8862	0.868	0.7903	0.8138	0.8019	0.21	0.21	1.0	1.0	કોર્ટે અભિયુક્તને ભારતીય દંડ કાયદાના સંબંધિત ધારાઓ હેતુના રૂપે દોષી ઠરાવ કરીને દોસ્તી અને ચોરી કરવાની ઇચ્છા સાથે બળ અંગે દંગો માટે બે જીવન દંડ આપ્યા.	0.0241545893719806	0.5653266331658291	0.446	0.6781	0.0
1066.0	The makers have decided to make the film in Telugu, Hindi and English besides dubbing in Tamil.	हा चित्रपट हिंदीसह हिंदीसह तेलुगू आणि तमिळ भाषेतही रिलीज करण्याचा निर्णय निर्मात्यांनी घेतला आहे.	50.0			50.0			Incorrect	निर्मात्यांनी तमिळमध्ये डबिंग करण्याबरोबरच तेलुगू, हिंदी आणि इंग्रजीत चित्रपट बनवण्याचा निर्णय घेतला आहे.	100.0							निर्मात्यांनी तेलुगु, हिंदी आणि इंग्रजी या भाषांमध्ये चित्रपट तयार करण्याचा निर्णय घेतला आहे आणि तमिळमध्ये डबिंग करण्याचा निर्णय घेतला आहे.	95.0						missed besides		0.8259	0.8279	0.8269	0.811	0.8286	0.8197	0.0	0.0	1.0	0.95	ನಿರ್ಮಾಪಕರು ತೆಲುಗು, ಹಿಂದಿ ಮತ್ತು ಇಂಗ್ಲಿಷ್ ಭಾಷೆಗಳಲ್ಲದೆ ತಮಿಳುಗೆ ಡಬ್ ಮಾಡುವುದರ ಒಪ್ಪಿಗೆ ತೀರಿಸಿದ್ದಾರೆ.	0.0337837837837837	0.4208333333333333	0.4473527070063694	0.6841	0.0
1091.0	The film starred Shraddha Kapoor, Neil Nitin Mukesh, Jackie Shroff, Mandira Bedi, Mahesh Manjrekar, Chunky Pandey, and Arun Vijay in pivotal roles.	या चित्रपटात प्रभास, श्रद्धा कपूर, नील नितीन मुकेश, अरुण विजय, जॅकी श्रॉफ, मंदिरा बेदी, चंकी पांडे, महेश मांजरेकर आणि मुरली शर्मा यांनी भूमिका केल्या आहेत.	85.0	85.0					Changed a name	चित्रपटात श्रद्धा कपूर, नील नितीन मुकेश, जॅकी श्रॉफ, मंदिरा बेदी, महेश मांजरेकर, चंकी पांडे आणि अरुण विजय यांनी महत्त्वपूर्ण भूमिका साकारल्या आहेत.	100.0							चित्रपटात श्रद्धा कपूर, नील नितीन मुकेश, जॅकी श्रॉफ, मंदिरा बेदी, महेश मांजरेकर, चंकी पांडे, आणि अरुण विजय यांनी महत्त्वाच्या भूमिका साकारल्या.	100.0								0.9302	0.9208	0.9255	0.9296	0.9222	0.9259	0.46	0.48	1.0	1.0	चित्रपटात श्रद्धा कपूर, नील नितिन मुकेश, जॅकी श्रॉफ, मंदिरा बेदी, महेश मांजरेकर, चंकी पांडे आणि अरुण विजय ची महत्वाची भूमिका आहेत.	0.6818790723593964	0.75	0.75	0.9192	0.36
1139.0	The Reserve Bank of India (RBI) will launch new rs 10 notes very soon.	भारतीय रिझर्व्ह बँक (आरबीआय) लवकरच दहा रुपयांच्या नवीन नोटा चलनात आणणार आहे. भारतीय रिझर्व्ह बँक महात्मा गांधींच्या सीरिजमधल्या 10 रुपयांच्या नव्या…	60.0		60.0				Added extra sentence	भारतीय रिझर्व्ह बँक (RBI) लवकरच नवीन १० रुपयांची नोट जारी करणार आहे.	100.0							भारतीय रिझर्व बँक (आरबीआई) लवकरच नवीन १० रुपयांच्या नोटा सुरू करणार आहे.	100.0								0.7851	0.8623	0.8219	0.7988	0.8857	0.84	0.13	0.0	1.0	1.0	भारतीय रिजर्व बैंक (आरबीआई) खूब जल्द नए रु 10 के नोट लॉन्च करेगा।	0.0865800865800865	0.3562075784298006	0.3220779220779221	0.7404	0.0
1151.0	Anil Kapoor and Kunal Kemmu are also in the movie.	याशिवाय अनिल कपूर आणि कुणाल खेमू यांच्याही चित्रपटात भूमिका आहेत.	98.0						Added yashiway	अनिल कपूर आणि कुणाल खेमू देखील या चित्रपटात आहेत.	98.0						missed also	अनिल कपूर आणि कुणाल खेमू ही सिनेमात आहेत.	100.0								0.8847	0.9098	0.8971	0.8432	0.89	0.866	0.42	0.41	0.98	1.0	अनिल कपूर आणि कुणाल केम्मू ही चित्रपटात पण आहेत.	0.616925669350309	0.7145928899082569	0.6405895691609977	0.8670	0.29
1193.0	The Bench also includes Justice SA Bobde, Justice DY Chandrachud, Justice Ashok Bhushan and Justice Abdul Nazeer.	बोबडे, न्यायमूर्ती डीवाय चंद्रचूड, न्यायमूर्ती अशोक भूषण आणि न्यायमूर्ती एस. ए. नजीर यांचाही समावेश आहे.	80.0	80.0					Missed early words	बेंचमध्ये न्यायमूर्ती एस.ए. बोबडे, न्यायमूर्ती डी.वाय. चंद्रचूड, न्यायमूर्ती अशोक भूषण आणि न्यायमूर्ती अब्दुल नझीर यांचा समावेश आहे.	100.0							बेंचमध्ये न्यायमूर्ती एसए बोबडे, न्यायमूर्ती डीवाय चंद्रचूड, न्यायमूर्ती अशोक भूषण आणि न्यायमूर्ती अब्दुल नजीर यांचा समावेश आहे.	100.0								0.9269	0.9071	0.9169	0.9202	0.9086	0.9144	0.45	0.59	1.0	1.0	बेंचमध्ये न्यायमुर्ती एसए बोबडे, न्यायमुर्ती डीव्हाय चंद्रचूढ, न्यायमुर्ती अशोक भूषण आणि न्यायमुर्ती अब्दुल नजीर असल्याचे समाविष्ट करण्यात आले आहे.	0.407346290184574	0.7288228822882289	0.747	0.8564	0.0
1214.0	Our chief Nitish Kumar is carrying forward the tradition of J.P. Narayan, Ram Manohar Lohia and George Fernandes.	आम्ही आमचे प्रमुख नितीश कुमार, जेपी नारायण, राम मनोहर लोहिया आणि जॉर्ज फर्नांडिस यांची परंपरा पुढे आणत आहे.	95.0						Incorrectly first word	आमचे प्रमुख नितीश कुमार जे.पी. नारायण, राम मनोहर लोहिया आणि जॉर्ज फर्नांडिस यांच्या परंपरेला पुढे नेत आहेत.	100.0							आमचे मुख्यमंत्री नितीश कुमार जे.पी. नारायण, राम मनोहर लोहिया आणि जॉर्ज फर्नांडिस यांची परंपरा पुढे नेत आहेत.	100.0								0.9182	0.92	0.9191	0.918	0.9154	0.9167	0.44	0.51	1.0	1.0	आमच्या मुख्यमंत्री नितीश कुमार जे.पी. नारायण, राम मनोहर लोहिया आणि जॉर्ज फर्नांडिस यांच्या परंपरेच्या सुरूवात करीत आहे.	0.5696770334928228	0.6620447221950981	0.7108984582668793	0.8947	0.37
1247.0	The film is based on the life of a mathematics genius Anand Kumar.	हा सिनेमा गणितज्ञ आनंद कुमार यांच्या जीवनावर आधारीत आहे.	100.0							चित्रपट गणितज्ञ आनंद कुमार यांच्या जीवनावर आधारित आहे.	100.0							चित्रपट आनंद कुमार नावाच्या गणित साधकाच्या जीवनावर आधारित आहे.	100.0								0.8935	0.9337	0.9132	0.8543	0.8273	0.8406	0.46	0.0	1.0	1.0	चलचित्र गणित जीनियस आनंद कुमार के जीवन पर आधारित है।	0.1875	0.6988249845392702	0.446	0.8243	0.0
1290.0	It increased the price of diesel by Rs 2.30 per litre.	तर डिझेलच्या किमतीतही 2.30 रुपये प्रतिलिटरची वाढ करण्यात आली आहे.	95.0						missed it	यांनी डिझेलच्या दरात प्रति लिटर २.३० रुपयांनी वाढ केली.	100.0							डिझेलच्या लिटरच्या किमतीत रु. २.३० वाढवले.	90.0						Missed it		0.8284	0.8503	0.8392	0.7971	0.8398	0.8179	0.0	0.0	1.0	0.9	તે લીટર પ્રતિ ડિઝલની કિંમત રૂ. 2.30 વધાર્યું.	0.091743119266055	0.1376146788990825	0.0934579439252336	0.6960	0.0
