idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans
675	[[0.93178946]]	Book Four appeared in 1742, and a complete revision of the whole poem in the following year.	నాల్గవ పుస్తకం 1742లో ప్రచురించబడింది మరియు తర్వాత సంవత్సరంలో మొత్తం పద్యం యొక్క ఒక సంపూర్ణ సవరణ ప్రచురించబడింది.	0.93178946	True	True	రచిత Book Four వచ్చింది 1742 లో, మరొక సంవత్సరంలో పోయి పోయి పోయింది.	నాలుగో పుస్తకం 1742లో ప్రచురించబడింది, మరియు మొత్తం కవిత యొక్క పూర్తి సవరణ ఆ తరువాత సంవత్సరంలో జరిగింది.	నాలుగవ పుస్తకం 1742లో వెలువడింది, తరువాతి సంవత్సరంలో పూర్తి కావ్యానికి సంపూర్ణ పునర్వ్యాఖ్యానం జరిగింది.
711	[[0.90550685]]	Assam: In Assam during the last 24 hours 169 cases of COVID-19 detected out of 25225 tests conducted.	అస్సాం: గత 24 గంటలలో అస్సాంలో 25225 కోవిడ్ పరీక్షలు జరపగా 169 కొత్త కేసులు బైటపడ్దాయి.	0.90550685	True	True	అసాం: గత 24 గంటల్లో 25,225 పరీక్షలలో నిర్వచించిన 169 కోవిడ్-19 కేసులు కనుగొనబడ్డాయి.	అస్సాం: అస్సాంలో గత 24 గంటల్లో 25225 పరీక్షలు నిర్వహించగా 169 కరోనా కేసులు గుర్తించబడ్డాయి.	అస్సాం: గత 24 గంటల్లో అస్సాంలో 25225 పరీక్షలు జరిపినందు 169 కోవిడ్-19 కేసులు పట్టుబడ్డాయి.
727	[[0.9058394]]	It is powered by the Qualcomm Snapdragon 855+ processor and comes with 12GB of RAM and 256GB of storage.	ఇది 12GB RAM మరియు 256GB ఇంటర్నల్ స్టోరేజీ తో క్వాల్కమ్ స్నాప్ డ్రాగన్ 855 చిప్సెట్ హ్యాండ్సెట్ తో నడుస్తుంది.	0.9058394	True	True	ఇది Qualcomm Snapdragon 855+ ప్రాసెసర్ ద్వారా పవర్ పెట్టబడుతుంది మరియు 12GB యొక్క RAM మరియు 256GB యొక్క స్టోరేజ్ తో వస్తుంది.	ఇది Qualcomm Snapdragon 855+ ప్రాసెసర్ ద్వారా శక్తిని పొందుతుంది మరియు 12GB RAM మరియు 256GB స్టోరేజ్‌తో వస్తుంది.	క్వాల్కామ్ స్నాప్‌డ్రాగన్ 855+ ప్రాసెసర్ ద్వారా శక్తినివ్వబడుతుంది మరియు 12GB ర్యామ్ మరియు 256GB స్టోరేజ్ తో వస్తుంది.
775	[[0.92951196]]	The bill was cleared in Rajya Sabha by 125 votes in favour and 61 votes against it.	రాజ్యసభలో బిల్లుకు అనూకూలంగా 125, వ్యతిరేకంగా 61 ఓట్లు రావడంతో బిల్లులకు సభామోదం లభించింది.	0.92951196	True	True	బిల్ 125 వోట్లతో రాజ్య సభలో అనుమోదన పొందింది మరియు 61 వోట్లతో విరుద్ధంగా ఉంది.	బిల్లు రాజ్యసభలో 125 మంది అనుకూలంగా మరియు 61 మంది వ్యతిరేకంగా ఓటింగ్ చేయగా ఆమోదించబడింది.	రాజ్యసభలో 125 అనుకూల ఓట్లు, 61 వ్యతిరేక ఓట్లతో బిల్లు ఆమోదించబడింది.
788	[[0.9070734]]	It is already installed at two checkposts in the State of Sikkim - Rangpo Checkposts, East Sikkim, and Melli checkposts, South Sikkim.	ఇది ఇప్పటికే సిక్కిం రాష్ట్రంలోని రెండు చెక్‌పోస్టులలో - రంగ్‌పో చెక్‌పోస్టులు, తూర్పు సిక్కిం, దక్షిణ సిక్కింలోని మెల్లి చెక్‌పోస్టులు ఏర్పాటు చేశారు The Vehicle Disinfectant Bay deployed at Rangpo Checkposts, East Sikkim	0.9070734	True	True	ఇది ఇప్పుడు సిక్కిమ్ రాష్ట్రంలో రంగ్పో చెక్ పోస్టులో, తూర్పు సిక్కిమ్లో మెల్లి చెక్ పోస్టులో ఇన్‌స్టాల్ చేయబడింది.	ఇది ఇప్పటికే సిక్కిం రాష్ట్రంలోని రెండు చెక్‌పోస్టులలో ఇన్‌స్టాల్ చేయబడింది - తూర్పు సిక్కిం లోని రంగ్పో చెక్‌పోస్టులు మరియు దక్షిణ సిక్కిం లోని మెల్లి చెక్‌పోస్టులు.	సిక్కిం రాష్ట్రంలో ఇప్పటికే రెండు చెక్ పోస్టుల్లో స్థాపించబడింది - తూర్పు సిక్కింలోని రంగ్పో చెక్ పోస్టు, దక్షిణ సిక్కింలోని మెల్లి చెక్ పోస్టు.
832	[[0.9203818]]	A case has been registered against Prasad at Sitanagar police station under section 74/2019 and section 324 of Indian Penal Code (IPC).	దీంతో ప్రసాద్‌పై సీతానగరం పోలీస్‌స్టేషన్‌లో 74/2019, ఐపీసీ 324 సెక్షన్‌ కింద కేసు నమోదు చేశారు.	0.9203818	True	True	ప్రసాద్‌పై సీతానగర్ పోలీస్ స్టేషన్‌లో భారతీయ దండ నియమావళి (IPC) యొక్క వడగాన్ను 74/2019 యొక్క వడగాన్ను 324 యొక్క తరువాత కేసు నమోదు చేయబడింది.	ప్రసాద్‌పై సీతానగర్ పోలీస్ స్టేషన్‌లో 74/2019 సెక్షన్ మరియు భారతీయ శిక్షాస్మృతిలోని (IPC) 324 సెక్షన్ కింద కేసు నమోదు చేయబడింది.	ప్రసాద్ పై సీతానగర్ పోలీస్ స్టేషన్ లో 2019 యొక్క 74 సెక్షన్, ఇండియన్ పీనల్ కోడ్ (ఐపీసీ) యొక్క 324 సెక్షన్ కింద కేసు నమోదు చేయబడింది.
991	[[0.9293503]]	Union ministers Radha Mohan Singh and Subhash Bhamre and Maharashtra minister Girish Mahajan were also present during talks with Hazare.	హజారేతో జరిపిన చర్చల్లో కేంద్ర మంత్రులు రాధా మోహన్ సింగ్, సుభాష్ భమ్రే, మహారాష్ట్ర మంత్రి గిరీష్ మహాజన్ పాల్గొన్నారు.	0.9293503	True	True	యూనియన్ మంత్రులు రాధా మోహన్ సింగ్ మరియు సుభాష్ భామ్రే మరియు మహారాష్ట్ర మంత్రి గిరీష్ మహాజన్ హజారీతో చర్చలతో ఉన్నారు.	హజారేతో చర్చల సందర్భంగా కేంద్ర మంత్రులు రాధామోహన్ సింగ్, సుభాష్ భామ్రే మరియు మహారాష్ట్ర మంత్రి గిరీష్ మహాజన్ కూడా హాజరయ్యారు.	కేంద్ర మంత్రులు రాధా మోహన్ సింగ్, సుభాష్ భామ్రే మరియు మహారాష్ట్ర మంత్రి గిరీష్ మహాజన్ హజారేతో చర్చల్లో పాల్గొన్నారు.
1032	[[0.90927553]]	The entire domain name may not contain more than 253 characters.	పూర్తి డొమైన్ పేరు 253 అష్టపదుల కంటే ఎక్కువ పొడవును కలిగి ఉండరాదు.	0.90927553	True	True	సంపూర్ణ డొమైన్ పేరు 253 పదాల కంటే ఎక్కువ ఉనకూడదు.	మొత్తం డొమైన్ పేరులో 253 కంటే ఎక్కువ అక్షరాలు ఉండకూడదు.	పూర్తి డొమెయిన్ పేరు 253 అక్షరాల కంటే ఎక్కువ ఉండకూడదు.
1084	[[0.92770374]]	The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has given its approval for introduction of the Payment of Gratuity (Amendment) Bill, 2017 in the Parliament.	ప్ర‌ధాన మంత్రి శ్రీ న‌రేంద్ర మోదీ అధ్య‌క్ష‌త‌న స‌మావేశ‌మైన కేంద్ర మంత్రివ‌ర్గం గ్రాట్యుటీ చెల్లింపు (స‌వ‌ర‌ణ‌) బిల్లు, 2017ను పార్ల‌మెంటులో ప్ర‌వేశ‌పెట్ట‌డానికి త‌న ఆమోదాన్ని తెలిపింది.	0.92770374	True	True	ప్రధాని శ్రీ నరేంద్ర మోదీ అధ్యక్షించిన కేంద్ర మంత్రిమండలి పార్లమెంటులో విజయవంతంగా పేమెంట్ ఆఫ్ గ్రాట్యూటి (సంశోధన) బిల్, 2017 పరిచయం కోసం అనుమతించింది.	ప్రధానమంత్రి శ్రీ నరేంద్ర మోడీ ఆధ్వర్యంలో జరిగిన కేంద్ర కేబినెట్ సహచర్యం 2017 లో పార్లమెంటులో గ్రాట్యుటీ చెల్లింపు (సవరణ) బిల్లును ప్రవేశపెట్టేందుకు ఆమోదం తెలిపింది.	ప్రధాన మంత్రి శ్రీ నరేంద్ర మోడీ అధ్యక్షతలో కేంద్ర మంత్రిమండలి పార్లమెంట్లో 2017 సంవత్సరపు గ్రాట్యుటీ చెల్లింపు (సవరణ) బిల్లును ప్రవేశపెట్టడానికి తన ఆమోదం తెలిపింది.
1089	[[0.90862596]]	The video of the incident has gone viral on WhatsApp.	ఈ ఘటనకు సంబంధించిన వీడియో వాట్సాప్ లో వైరల్ గా మారడంతో విషయం వెలుగులోకి వచ్చింది.	0.90862596	True	True	ఈ ఘటన యొక్క వీడియో వాట్సాప్‌లో వైరల్ అవుతుంది.	ఆ ఘటన యొక్క వీడియో వాట్సాప్‌లో వైరల్ అయింది.	ఆ సంఘటన వీడియో వాట్సాప్ లో వైరల్ అయింది.
1102	[[0.9048918]]	So if you take first station as 1 and the 2nd station as 2, so Delta P is P1 minus P2, so P2 is less than P1, so P1 minus P2 because there is a frictional loss, so P1 minus P2 is basically the Delta P.	మీరు మొదటి స్టేషన్ను 1 మరియు రెండో స్టేషన్ 2 గా తీసుకుంటే, డెల్టా పి P1 మైనస్ P2 కాబట్టి P2 కంటే P1 కంటే తక్కువగా ఉంటుంది, కాబట్టి P1 మైనస్ P2 కాబట్టి ఘర్షణ నష్టం ఉంది కాబట్టి P1 మైనస్ P2 ప్రధానంగా డెల్టా P మరియు P1 మైనస్ P2 సానుకూలంగా ఉంటుంది, ఎందుకంటే ఈ పీడన నష్టం ప్రతికూలంగా ఉంటుంది, ఎందుకంటే ఒత్తిడి, మీరు X దిశలో కదులుతుంటే అప్పుడు ఒత్తిడి తగ్గుతుంది, కాబట్టి ప్రవణత ప్రతికూలంగా ఉంటుంది, ఇక్కడ వ్యక్తీకరించబడుతుంది.	0.9048918	True	True	కాబట్టి, మొదటి స్టేషన్ ని 1 గా తీసుకోవడం మరియు 2 వ స్టేషన్ ని 2 గా తీసుకోవడం వల్ల, డెల్టా P పి1 మైనస్ పి2 గా ఉంది, కాబట్టి పి2 పి1 కంటే తక్కువగా ఉంది, కాబట్టి కారణంగా ఫ్రిక్షనల్ లాస్ ఉంటుంది, కాబట్టి పి1 మైనస్ పి2 అంటే మొత్తంగా డెల్టా P ని సూచిస్తుంది.	మరి మీరు మొదటి స్టేషన్‌ను 1గా, రెండవ స్టేషన్‌ను 2గా తీసుకుంటే, డెల్టా P అనేది P1 మైనస్ P2 అవుతుంది, కాబట్టి P2 అనేది P1 కంటే తక్కువ, కాబట్టి P1 మైనస్ P2 అని ఉంటుంది ఎందుకంటే అక్కడ ఘర్షణ నష్టం ఉంది, అందువల్ల P1 మైనస్ P2 అనేది మాతృక డెల్టా P అవుతుంది.	అందుకే మొదటి స్టేషన్ ను 1గా తీసుకుంటే, 2వ స్టేషన్ ను 2గా తీసుకుంటే, డెల్టా పి అనగా పి1 నుండి పి2 తీసివేయడం, పి2 పి1 కంటే తక్కువ, పి1 నుండి పి2 తీసివేయడం ఘర్షణ నష్టం కారణంగా, పి1 నుండి పి2 తీసివేయడం అంటే డెల్టా పి అనేదే.
1141	[[0.9075049]]	Nelson was eventually exiled during the late 1920s and early 1930s, but he continued to assist the organisation financially and politically.	నెల్సన్ చివరికి 1920ల ముగింపు మరియు 1930ల ప్రారంభంలో బహిష్కరించబడ్డాడు, కాని అతను సంస్థకు ఆర్థిక పరంగా మరియు రాజకీయ పరంగా సహాయాన్ని కొనసాగించాడు.	0.9075049	True	True	నెల్సన్ 1920ల వద్ద మరియు 1930ల ప్రారంభంలో పక్షం నుండి ప్రత్యక్షంగా మరియు రాజకీయంగా సంఘంను సహాయపడడం కొంత కాలం తర్వాత తల్లికి నిర్యాతనగా చేర్చబడ్డాడు.	నెల్సన్ చివరికి 1920ల చివరలో మరియు 1930ల ప్రారంభంలో దేశనిర్బంధితుడయ్యాడు, కానీ ఆయన ఆ సంస్థకు ఆర్థికంగా మరియు రాజకీయంగా సహాయపడుతూ ఉన్నాడు.	నెల్సన్ 1920ల చివరి దశలో మరియు 1930ల ప్రారంభ దశలో చివరకు పారిపోయాడు, కానీ ఆర్థికంగా మరియు రాజకీయంగా సంస్థకు సహాయం అందించాడు.
1213	[[0.9130517]]	Best Writing- Thiagararajan Kumararaja, Nalan Kumaraswamy, Mysskin, Neelan K Sekar (Super Deluxe)	ఉత్తమ రచయిత – త్యాగరాజన్ కుమారరాజా, నలన్ కుమారస్వామి, మిస్కిన్, నీలం కె శేఖర్(సూపర్ డీలక్స్)	0.9130517	True	True	ఉత్తమ రచన - తియాగరాజన్ కుమారరాజ, నాలన్ కుమారస్వామి, మైస్కిన్, నీలన్ కే శేకర్ (సూపర్ డిలక్స్)	ఉత్తమ రచన - త్యాగరాజన్ కుమారరాజ, నళన్ కుమారస్వామి, మిస్కిన్, నీలన్ కె శేఖర్ (సూపర్ డీలక్స్)	ఉత్తమ రచన - తియాగరాజన్ కుమారరాజా, నాలన్ కుమారస్వామి, మైస్కిన్, నీలన్ కె శేకర్ (సూపర్ డెల్యూక్స్)
1331	[[0.93651915]]	Senior Supreme Court advocate Jagdeep Dhankhar was appointed as the new Governor of West Bengal, replacing Keshari Nath Tripathi.	కేసరినాథ్ త్రిపాఠి స్థానంలో పశ్చిమ బెంగాల్ గవర్నర్ గా సుప్రీంకోర్టు సీనియర్ న్యాయవాది జగదీప్ ధన్‌ఖర్ నియమితులయ్యారు.	0.93651915	True	True	అధికారిక సుప్రీం కోర్టు వకీలు జగదీప్ ధన్కర్ ను పశ్చిమ బంగాళ రాజ్యంలో కేశరి నాథ్ త్రిపాతిని సాయంత్రం పాలించినందుకు కొత్త గవర్నర్ గా నియమించబడింది.	సీనియర్ సుప్రీంకోర్టు న్యాయవాది జగదీప్ ధన్‌ఖర్ పశ్చిమ బెంగాల్ కొత్త గవర్నర్‌గా నియమితులయ్యారు, కేశరి నాథ్ త్రిపాఠి స్థానంలో.	పార్లమెంటు సభ్యుడు జగదీప్ ధన్ఖర్ ను పశ్చిమ బెంగాల్ గవర్నరుగా నియమించారు, కేశరి నాథ్ త్రిపాఠిని భర్తీ చేసారు.
1479	[[0.90020317]]	Chief Justice of India Ranjan Gogoi has written three letters to Prime Minister Narendra Modi seeking to increase the number of judges in the Supreme Court.	దిల్లీ: సుప్రీంకోర్టులో న్యాయమూర్తుల సంఖ్యను పెంచాలని కోరుతూ భారత ప్రధాన న్యాయమూర్తి జస్టిస్‌ రంజన్‌ గొగొయ్, ప్రధాని మోదీకి లేఖ రాశారు.	0.90020317	True	True	భారతదేశంలో ముఖ్య న్యాయాధీశు రంజన్ గోగోయ్ ప్రధాని నరేంద్ర మోదీకి సుప్రీం కోర్టులో న్యాయదివాకరుల సంఖ్యను పెంపుతున్నట్లు గురించి మూడు పత్రాలు రాయచేసారు.	భారత ప్రధాన న్యాయమూర్తి రంజన్ గొగోయ్ సుప్రీం కోర్ట్‌లో న్యాయమూర్తుల సంఖ్యను పెంచాలని కోరుతూ ప్రధాన మంత్రి నరేంద్ర మోడియికి మూడు లేఖలు రాశారు.	భారత ప్రధాన న్యాయమూర్తి రంజన్ గోగోయి ప్రధాని నరేంద్ర మోదీకి సుప్రీం కోర్టులో న్యాయమూర్తుల సంఖ్యను పెంచాలని మూడు లేఖలు వ్రాశారు.
1509	[[0.9044242]]	About three million years ago the oceans could have been up to 50 m (165 ft) higher.	దాదాపు మూడు మిలియన్ల సంవత్సరాల క్రితం మహాసముద్రాలు దాదాపు 165 అడుగులు (50 మీ)ఎత్తులో ఉండేవి.	0.9044242	True	True	ప్రాచీన క్రి.పూ. లో సముద్రాలు 50 మీటర్ల(165 అడి) ఎత్తకు పెరిగినవి కావొచ్చు.	సుమారు మూడు మిలియన్ల సంవత్సరాల క్రితం సముద్రాలు 50 మీటర్లు (165 అడుగులు) వరకు ఎత్తుగా ఉండి ఉండవచ్చు.	సుమారు మూడు మిలియన్ సంవత్సరాల క్రితం సముద్రాలు 50 మీ (165 అడుగులు) ఎత్తుగా ఉండవచ్చు.
1523	[[0.9134934]]	It is pretty close to what people approximated here they said 1 million is about four times the size.	1 million is about four times ఎక్కువ అని వారు చెప్పిన ఇక్కడ ప్రజలు అంచనా వేసిన దానికి ఇది చాలా దగ్గరగా ఉంది.	0.9134934	True	True	ఇది ఇక్కడ మానవులు అందరు అంచనా చేసినంత సమీపంగా ఉంది, వారు ఒక మిలియన్ అంతా నాలుగు సార్లు పెరిగి ఉందని చెప్పారు.	ఇది ఇక్కడ ఇబ్బంది పెట్టినవారు అంచనా వేసిన దానికి చాలా దగ్గరగా ఉంది, వారు 1 మిలియన్ అంటే సుమారు నాలుగు రెట్లు పెద్దదని చెప్పారు.	ఇది ఇక్కడ ప్రజలు అంచనా వేసిన దానికి చాలా దగ్గరగా ఉంది, వారు చెప్పినట్లు 1 మిలియన్ దాదాపు నాలుగు రెట్లు పరిమాణంలో ఉంది.
1551	[[0.9554082]]	The film will also be released in Hindi, Tamil, Telugu, and Malayalam.	ఈ మూవీ తెలుగుతో పాటు త‌మిళ‌, మ‌ల‌యాళ‌, హిందీ, ఇంగ్లిష్ భాష‌ల్లోనూ విడుదల కానుంది.	0.9554082	True	True	ఈ చిత్రం హిందీ, తమిళ్, తెలుగు మరియు మలయాళం భాషలలో కూడా విడుదల కానుంది.	ఈ చిత్రం హిందీ, తమిళ, తెలుగు, మరియు మలయాళం భాషల్లో కూడా విడుదల కానుంది.	ఈ చిత్రం హిందీ, తమిళం, తెలుగు, మలయాళంలో కూడా విడుదల అవుతుంది.
